Title,Company,Location,JobDescription
Chief Financial Officer,AMERIA Investment Consulting Company,Middle East,"AMERIA Investment Consulting Company is seeking a
Chief Financial Officer. This position manages the company's fiscal and
administrative functions, provides highly responsible and technically
complex staff assistance to the Executive Director. The work performed
requires a high level of technical proficiency in financial management
and investment management, as well as management, supervisory, and
administrative skills."
Full-time Community Connections Intern (paid internship),International Research & Exchanges Board (IREX),Yerevan Armeni,"IREX currently seeks to fill the position of a paid
Intern for the Community Connections (CC) Program. The position is based
in the Yerevan office however applicants must be willing to travel
throughout Armenia as necessary.  This position reports directly to the
CC Program Manager."
Country Coordinator,Caucasus Environmental NGO Network (CENN),"Yerevan, Armenia","Public outreach and strengthening of a growing
network of environmental NGOs, businesses, international organizations
and public agencies. Will serve as primary contact between CENN and
public. This is a full-time position."
BCC Specialist,Manoff Group,"Manila, Philippines","The LEAD (Local Enhancement and Development for
Health) BCC Specialist will apply state-of-the-art approaches in working
with LGUs (Local Government Units) and NGOs to help them to identify and
address provider-caused barriers to service provision as well as to
identify and address supports for good service delivery by developing
tools that may be adapted to each LGU's needs. S/he will work with LEAD
staff across all components to support quality service delivery and will
also monitor implementation of improved service delivery in LGUs, and
will provide additional assistance to LGUs and NGOs, as needed. S/he
will collect all relevant published and grey literature documents,
identify gaps in knowledge, and work with NGOs and consultants to fill
in the gaps. S/he will establish training for NGOs and LGU
administration staff pursuing service enhancement and provider behavior
change and will oversee the training. S/he will serve as the Project's
primary liaison to TSAP and other projects and organizations working in
behavior change."
Software Developer,Yerevan Brandy Company,"Yerevan, Armenia",NA
Saleswoman,"Boutique ""Appollo""","Yerevan, Armenia",Saleswoman will sell menswear and accessories.
Chief Accountant/ Finance Assistant,OSI Assistance Foundation - Armenian Branch Office,"Yerevan, Armenia","The Armenian Branch Office of the Open Society
Institute Assistance Foundation is seeking applications for the position
of Chief Accountant/ Finance Assistant. The Chief Accountant/ Finance
Assistant will be responsible for all transactions, connected with grant
payments, administrative expenses."
Non-paid part or full time Programmatic Intern,International Research & Exchanges Board (IREX),IREX Armenia Main Office," IREX currently seeks to fill the position of non-paid
full and part time Programmatic Intern. The position is based in the
Yerevan office. This position reports directly to the Administrative
Coordinator or Program Manager.
The internship program serves to:
- Reinforce and strengthen the interns' personal values and career
objectives through an improved understanding of themselves and the work
environment;
- Assist students in identifying and acquiring the skills needed to
enter a chosen field;
- Provide practical work experience to balance the students' theoretical
training;
- Allow students to meet and learn from professionals in the field and
develop a network of contacts.
Internship Areas:
Administrative Internship
The IREX Administrative Internship provides interns with experience in
the areas of public relations, secretarial support, translation and
interpretation.  Interns will be responsible for greeting visitors,
responding to walk in and telephone inquiries about IREX and its
programs, directing office communications to appropriate staff, editing
of written text, assisting with daily administrative tasks such as
written translation, oral interpretation, filing, copying, faxing,
drafting correspondence, research, and other duties as needed.
Program Internships
The IREX Program Internship provides interns with experience working
directly with one or more of IREX's programs including public relations
and outreach, event coordination, and administrative tasks related to
specific programs.  Interns will be responsible for responding to walk
in and telephone inquiries related to the program, assisting program
staff with public outreach campaigns, assisting in the development and
editing of outreach materials, assisting in event coordination and
program related research, and various administrative tasks including but
not limited to written translation, oral interpretation, filing,
copying, faxing, and drafting correspondence.  IREX Program Interns are
assigned to programs according to program needs, technical resources
available, and intern skills.  Possible placements include: the
Educational Information Center (EIC) and Computer Based Testing Center,
the Internet Access Training Program (IATP), the Community Connection
Exchange Program, Partnerships and Training Division Education
Curriculum Development Programs, and the Academic and Exchanges and
Research Division Alumni Program."
Assistant to Managing Director,Yerevan Brandy Company,"Yerevan, Armenia",NA
"Program Assistant (INL), FSN-8; FP-6*","American Embassy Yerevan
ANNOUNCEMENT NUMBER: 04-01",NA,"The incumbent assists in coordinating INL-funded law
enforcement and drug control programs in Armenia (including training
programs supported and implemented by US Agencies) to avoid duplication
of effort with other programs and to ensure that assistance from various
USG agencies is complementary. Additionally, assists on coordinating US
mission activities in the crime and narcotics area with other donors
like the United Nations, Non Governmental organizations and other
international donors.
A copy of the complete position description listing all duties and
responsibilities is available in the Human Resources Office. Contact
number: (3741) 52-46-61"
